,a,b,r_squared
NO_1,0.026723516756532,0.7705538947849793,0.967815206839534
NO_2,0.03317164976652881,0.5530413574500297,0.9929856831910936
NO_3,0.03390535409644343,0.40499742340122563,0.9292621191467624
NO_4,0.03620208383355591,0.41239676821596305,0.9911414462337786
NO_5,0.049317449428603694,0.5583147389233002,0.9729954206200404
DK_1,0.024903777063297702,0.24761097272277693,0.9332035285904358
