,a,b,r_squared
NO_2,0.08344425980977714,1.160712516626774,0.9817482879137249
NO_3,0.09023162514410313,1.0152669773363636,0.9856430790799775
NO_4,0.0750948043842318,1.1032426678322644,0.9961939171048794
DK_1,0.06913633909858326,1.7654097796460126,0.9744093632078806
DK_2,0.06771202162215019,1.5289189146604547,0.9886540414614154
